UI fieldname Plytix (displayed in UI),System fieldname (Plytix calls it label),Field type Plytix,Formula
Glove Pulling on/off System,glove_pulling_onoff_system,Dropdown,
Gloves cuffs,gloves_cuffs,Dropdown,
Glove Wrist Strap,glove_wrist_strap,Dropdown,
Grip color,grip_color,Short Text,
Grip extension,grip_extension,Dropdown,
Grip Material,grip_material,Short Text,
Grip Tape (AB),grip_tape_ab,Short Text,
Grip walk,grip_walk,Dropdown,
H20 Compatible,h20_compatible,Dropdown,
Hand brake,hand_brake,Dropdown,
Handle,handle,Dropdown,
Handlebar,handlebar,Short Text,
Handlebar diameter,handlebar_diameter,Short Text,
Handlebar with Steering Tube Size cm,handlebar_with_steering_tube_size_cm,Short Text,
Handlebar with steering tube size (W x H in cm),handlebar_with_steering_tube_size_w_x_h_in_cm,Short Text,
(Handle) Strap,handle_strap,Short Text,
Headring,headring,Short Text,
Head shape,head_shape,Dropdown,
Heel lifter,heel_lifter,Dropdown,
Height,height,Short Text,
Height (cm),height_cm,Short Text,
Height (mm),height_mm,Short Text,
Hem,hem,Short Text,
Hem Bottom,hem_bottom,Dropdown,
Highback,highback,Short Text,
Hip Belt,hip_belt,Dropdown,
Hood,hood,Dropdown,
Inflatable,inflatable,Short Text,
Ins material frame,ins_material_frame,Short Text,
Inseam Leg Length,inseam_leg_length,Short Text,
Inside Jacket,inside_jacket,Dropdown,
Inside length,inside_length,Dropdown,
Inside Pant,inside_pant,Dropdown,
Insole material,insole_material,Dropdown,
Insultation,insultation,Short Text,
Kick pad,kick_pad,Dropdown,
Knit construction,knit_construction,Dropdown,
Lace cover,lace_cover,Dropdown,
Lacing system,lacing_system,Dropdown,
Lamination,lamination,Short Text,
Lamination Bottom,lamination_bottom,Dropdown,
Lamination Top,lamination_top,Dropdown,
Layers,layers,Short Text,
Leash,leash,Short Text,
Leg Length,leg_length,Dropdown,
Length (cm),length_cm,Short Text,
Length (mm),length_mm,Short Text,
Lens category,lens_category,Short Text,
Lens Composition,lens_composition,Short Text,
Lens construction,lens_construction,Short Text,
Lens finish,lens_finish,Short Text,
Lens type,lens_type,Dropdown,
Lens ventilation,lens_ventilation,Short Text,
Lens color,lens_color,Dropdown,
Lens Composition,lens_composition,Dropdown,
Lens Style,lens_style,Dropdown,
Lens type,lens_type,Dropdown,
Lid closing,lid_closing,Short Text,
Lid Type,lid_type,Dropdown,
Limit Temperature (Degree Celsius),limit_temperature_degree_celsius,Short Text,
Lining,lining,Short Text,
Lining construction,lining_construction,Dropdown,
Lining material,lining_material,Dropdown,
Lock system,lock_system,Dropdown,
Main material,main_material,Dropdown,
Material,material,Short Text,
Material backing,material_backing,Short Text,
Material brakepad,material_brakepad,Short Text,
Material buckles,material_buckles,Short Text,
Material cuff,material_cuff,Short Text,
Material Features,material_features,Short Text,
Material frame,material_frame,Short Text,
Material midsole,material_midsole,Short Text,
Material shell,material_shell,Short Text,
Material tongue,material_tongue,Short Text,
Material velcro,material_velcro,Short Text,
Material 1,material_1,Dropdown,
Material 2,material_2,Dropdown,
Material 2 Bottom,material_2_bottom,Dropdown,
Material bearings,material_bearings,Dropdown,
Material Bindings,material_bindings,Dropdown,
Material Bottom,material_bottom,Dropdown,
Material clamp,material_clamp,Dropdown,
Material Closing,material_closing,Dropdown,
Material coating,material_coating,Dropdown,
Material cuff,material_cuff,Dropdown,
Material deck,material_deck,Dropdown,
Material Deniers,material_deniers,Dropdown,
Material fly sheet inner tent floor,material_fly_sheet_inner_tent_floor,Dropdown,
Material fork,material_fork,Dropdown,
Material frame,material_frame,Dropdown,
Material gasket,material_gasket,Dropdown,
Material grip,material_grip,Dropdown,
Material handlebar,material_handlebar,Dropdown,
Material Handle grips,material_handle_grips,Dropdown,
Material headstrap,material_headstrap,Dropdown,
Material inner boots,material_inner_boots,Dropdown,
Material Inner Jacket,material_inner_jacket,Dropdown,
Material lens,material_lens,Dropdown,
Material outsole,material_outsole,Dropdown,
Material poles pegs,material_poles_pegs,Dropdown,
Material Rims,material_rims,Dropdown,
Material riserpads,material_riserpads,Dropdown,
Material shaft,material_shaft,Dropdown,
Material shell,material_shell,Dropdown,
Material steering tube,material_steering_tube,Dropdown,
Material structure,material_structure,Dropdown,
Material tip,material_tip,Dropdown,
Material truck,material_truck,Dropdown,
Material wheels,material_wheels,Dropdown,
Materil 1,materil_1,Dropdown,
Max. user weight (kg),max_user_weight_kg,Short Text,
Max body size 1 (cm),max_body_size_1_cm,Short Text,
Max body size 2 (cm),max_body_size_2_cm,Short Text,
Maximum loading capacity (kg),maximum_loading_capacity_kg,Short Text,
Maximum payload (kg),maximum_payload_kg,Short Text,
Maximum temperature (degrees celcius),maximum_temperature_degrees_celcius_,Short Text,
Maximum user weight (kg),maximum_user_weight_kg,Short Text,
Maximum length (cm),maximum_length_cm,Short Text,
Maximum resistance Level,maximum_resistance_level,Short Text,
Maximum User Weight,maximum_user_weight,Short Text,
Max User Weight,max_user_weight,Short Text,
Max. user weight (kg),max_user_weight_kg,Short Text,
Membrane,membrane,Short Text,
Microwave safe,microwave_safe,Dropdown,
Midsole material,midsole_material,Dropdown,
Minimum length (cm),minimum_length_cm,Short Text,
Mirrored lens,mirrored_lens,Dropdown,
Neck,neck,Short Text,
Neck support,neck_support,Dropdown,
Neck Top,neck_top,Dropdown,
Non Marking,non_marking,Dropdown,
Norm,norm,Short Text,
Norms,norms,Short Text,
Norms & Certificates,norms_certificates,Short Text,
Number of apsis,number_of_apsis,Dropdown,
Number of bars,number_of_bars,Dropdown,
Number of buckles,number_of_buckles,Dropdown,
Number Of Compartments,number_of_compartments,Dropdown,
Number of disks,number_of_disks,Dropdown,
Number of entrances,number_of_entrances,Dropdown,
Number Of Inside Pockets,number_of_inside_pockets,Dropdown,
Number of locks,number_of_locks,Dropdown,
Number Of Outside Pockets,number_of_outside_pockets,Dropdown,
Number of persons,number_of_persons,Dropdown,
Number Of Pockets,number_of_pockets,Dropdown,
Number Of Pockets Bottom,number_of_pockets_bottom,Dropdown,
Number of sleeping rooms,number_of_sleeping_rooms,Dropdown,
Number of ventilations,number_of_ventilations,Dropdown,
OTG (Over-the-Glasses),otg_over_the_glasses,Short Text,
Outsole,outsole,Short Text,
Outsole material,outsole_material,Dropdown,
Outsole type,outsole_type,Dropdown,
Packaging,packaging,Dropdown,
Packaging weight (kg),packaging_weight_kg,Short Text,
Packing size (L x W in cm),packing_size_l_x_w_in_cm,Short Text,
Packing size (L x W x H in cm),packing_size_l_x_w_x_h_in_cm,Short Text,
Packing Type,packing_type,Dropdown,
Packing Size,packing_size,Short Text,
Packing size (L x W in cm),packing_size_l_x_w_in_cm,Short Text,
Packing Type,packing_type,Dropdown,
Padding,padding,Dropdown,
Padding Material,padding_material,Dropdown,
Padding Outside Jacket,padding_outside_jacket,Dropdown,
Padding Top,padding_top,Dropdown,
Paddle attachment,paddle_attachment,Dropdown,
Paddle blade material,paddle_blade_material,Dropdown,
Paddle construction,paddle_construction,Dropdown,
Paddle floating,paddle_floating,Dropdown,
Paddle handle material,paddle_handle_material,Dropdown,
Paddle included,paddle_included,Dropdown,
Paddle material,paddle_material,Dropdown,
Paddle type,paddle_type,Dropdown,
Palm material,palm_material,Dropdown,
Palm material thickness (mm),palm_material_thickness_mm,Short Text,
Pattern,pattern,Dropdown,
Pattern Bottom,pattern_bottom,Dropdown,
Pattern Top,pattern_top,Dropdown,
Pegs,pegs,Short Text,
Pipe length (mm),pipe_length_mm,Short Text,
Player type,player_type,Dropdown,
Pockets,pockets,Multiselect,
Pocket type,pocket_type,Dropdown,
Pol weight g,pol_weight_g,Short Text,
Power strap,power_strap,Dropdown,
PPE,ppe,Dropdown,
Pressure Max,pressure_max,Short Text,
Product Triman Labeling Case,product_triman_labeling_case,Short Text,
Protected body part,protected_body_part,Short Text,
Pump attachment,pump_attachment,Dropdown,
Purge valve,purge_valve,Dropdown,
Quick access to main compartment,quick_access_to_main_compartment,Dropdown,
Raincover,raincover,Dropdown,
